Original Feature,Importance
Course,0.2586728
Application mode,0.12215383
Father's qualification,0.10032554
Father's occupation,0.0944627
Mother's occupation,0.09266607
Gender,0.07887134
Mother's qualification,0.07442579
Age at enrollment,0.06759828
Marital status,0.029021174
Displaced,0.023679536
GDP,0.010867402
Previous qualification,0.009425814
Daytime/evening attendance,0.008564453
Inflation rate,0.008110561
Application order,0.007520725
Unemployment rate,0.007274009
Nacionality,0.00635999
International,0.0
Educational special needs,0.0
